l1,l2,Lambda
0.40134228187919463,18.180536912751677,1.5139224451016169
0.40134228187919463,18.48187919463087,1.5149701692436555
0.40134228187919463,18.783221476510068,1.5159683730111975
0.40134228187919463,19.084563758389262,1.516920138342875
0.40134228187919463,19.385906040268456,1.517828246389387
0.40134228187919463,19.68724832214765,1.5186953738097775
0.40134228187919463,19.988590604026843,1.5195238965303481
0.40134228187919463,20.28993288590604,1.5203160916551808
0.40134228187919463,20.591275167785234,1.521074042740147
0.40134228187919463,20.892617449664428,1.5217996856546334
0.40134228187919463,21.19395973154362,1.522494806448704
0.40134228187919463,21.49530201342282,1.5231611078182046
0.40134228187919463,21.796644295302013,1.5238002237864166
0.40134228187919463,22.097986577181207,1.5244135395322775
0.40134228187919463,22.3993288590604,1.5250023823823458
0.40134228187919463,22.700671140939598,1.5255680941598293
0.40134228187919463,23.00201342281879,1.5261118473196666
0.40134228187919463,23.303355704697985,1.5266347753654104
0.40134228187919463,23.60469798657718,1.5271378667078004
0.40134228187919463,23.906040268456376,1.5276222186917463
0.40134228187919463,24.20738255033557,1.5280887153205989
0.40134228187919463,24.508724832214764,1.5285382012426214
0.40134228187919463,24.810067114093957,1.5289714627823927
0.40134228187919463,25.11140939597315,1.5293892935325002
0.40134228187919463,25.41275167785235,1.5297924279275084
0.40134228187919463,25.714093959731542,1.530181544975733
0.40134228187919463,26.015436241610736,1.530557309536886
0.40134228187919463,26.31677852348993,1.530920279910621
0.40134228187919463,26.618120805369127,1.5312710715046327
0.40134228187919463,26.91946308724832,1.5316101928517352
0.40134228187919463,27.220805369127515,1.531938184618746
0.40134228187919463,27.52214765100671,1.5322554455280972
0.40134228187919463,27.823489932885906,1.53256248960266
0.40134228187919463,28.1248322147651,1.5328597654233769
0.40134228187919463,28.426174496644293,1.533147710158329
0.40134228187919463,28.727516778523487,1.5334266880187026
0.40134228187919463,29.02885906040268,1.5336970370997003
0.40134228187919463,29.330201342281878,1.5339591260039431
0.40134228187919463,29.631543624161072,1.53421328455032
0.40134228187919463,29.932885906040266,1.5344598298538534
0.40134228187919463,30.23422818791946,1.5346990604695667
0.40134228187919463,30.535570469798657,1.5349312628685552
0.40134228187919463,30.83691275167785,1.535156720934796
0.40134228187919463,31.138255033557044,1.5353756872824997
0.40134228187919463,31.439597315436238,1.535588392562203
0.40134228187919463,31.740939597315435,1.5357950932070954
0.40134228187919463,32.042281879194626,1.5359959977169775
0.40134228187919463,32.343624161073826,1.53619134355423
0.40134228187919463,32.64496644295302,1.5363813051924398
0.40134228187919463,32.946308724832214,1.5365660563558228
0.40134228187919463,33.24765100671141,1.5367458309336148
0.40134228187919463,33.5489932885906,1.5369208256188198
0.40134228187919463,33.850335570469795,1.5370911635522473
0.40134228187919463,34.15167785234899,1.5372570341674778
0.40134228187919463,34.45302013422818,1.5374185952094237
0.40134228187919463,34.75436241610738,1.5375759443417643
